Database,Acc_number,Suffix,MMC_ID,Name,Restrand_Occurrence_num,Age_Class,Sex,Common_Name,Genus,Species,Strand_Date,Stranding_County,Stranding_City,Stranding_Locality,Stranding_Details,Latitude,Longitude,Admit_Date,Admit_Weight_kg,Admit_Length_cm,Disposition_Date,Disposition,Dispo_Weight_kg,Dispo_Length_cm,CODeath_List,Diagnosis_List
Lloyd,12681,,CSL-12681,Shortrib,,Adult,Male,California Sea Lion,Zalophus,californianus,08/12/2015,Monterey,Moss Landing,,on rocks by double launch ramp in North harbor for Monterey Bay Kayaks,36.8134,-121.7885,08/12/2015,100.5,175,08/12/2015,died in treatment,100.5,175,domoic acid toxicity (acute),
Lloyd,12684,,CSL-12684,Dakota,,Adult,Female,California Sea Lion,Zalophus,californianus,08/12/2015,Santa Cruz,Wastonville,Pajaro Dunes (Sunset State Beach),,36.8600,-121.8250,08/12/2015,80.5,158,08/17/2015,euthanasia,80.5,,"euthanasia, domoic acid toxicity",domoic acid toxicity 
Lloyd,12685,,CSL-12685,Viva,,Subadult,Female,California Sea Lion,Zalophus,californianus,08/12/2015,Monterey,Pacific Grove,Asilomar State Beach,South of Jewel Street at Ocean View Boulevard,36.2400,-121.9300,08/13/2015,59,154,08/28/2015,released,57.5,,,domoic acid toxicity 
Lloyd,12686,,CSL-12686,Headlamp,,Subadult,Male,California Sea Lion,Zalophus,californianus,08/14/2015,Monterey,Moss Landing,Moss Landing State Beach,By cove at Phil's Fish Market,36.8100,-121.7940,08/14/2015,81.5,149,08/30/2015,euthanasia,64.5,157,"euthanasia, domoic acid toxicity (acute)",
Lloyd,12687,,CSL-12687,Lightning,,Juvenile,Male,California Sea Lion,Zalophus,californianus,08/15/2015,Monterey,Moss Landing,Moss Landing State Beach,,36.8170,-121.7990,08/15/2015,57.5,148,08/30/2015,euthanasia,45,150.5,"euthanasia, domoic acid toxicity (chronic)",
Lloyd,12688,,CSL-12688,Bennett,,Juvenile,Male,California Sea Lion,Zalophus,californianus,08/15/2015,San Mateo,Half Moon Bay,Martin's Beach,,37.3797,-122.4113,08/15/2015,68,150,09/01/2015,euthanasia,57.5,150,"euthanasia, domoic acid toxicity (chronic)","domoic acid toxicity, malnutrition"
Lloyd,12691,,CSL-12691,Wilbur,,Adult,Male,California Sea Lion,Zalophus,californianus,08/17/2015,Alameda,Alameda,Crown Memorial State Beach,Across from 2239 Shoreline Dr.,37.7540,-122.2520,08/18/2015,252,219,08/18/2015,died in treatment,252,,domoic acid toxicity,domoic acid toxicity 
Lloyd,12692,,CSL-12692,Willibob,,Adult,Female,California Sea Lion,Zalophus,californianus,08/18/2015,San Luis Obispo,Morro Bay,Morro Strand State Beach - North,,35.3911,-120.8665,08/18/2015,60,169,09/02/2015,euthanasia,49,,"euthanasia, domoic acid toxicity (chronic)","domoic acid toxicity , malnutrition"
Lloyd,12693,,CSL-12693,Hefrey,,Subadult,Male,California Sea Lion,Zalophus,californianus,08/18/2015,Santa Cruz,Aptos,Seacliff State Beach,,36.9630,-121.9240,08/18/2015,109,173,09/02/2015,released,106.5,,,domoic acid toxicity (acute)
Lloyd,12694,,CSL-12694,Zoe,,Adult,Female,California Sea Lion,Zalophus,californianus,08/18/2015,San Luis Obispo,Cambria,Shamel County Park,Straight out from end of Lancaster Street off bluff area where bench is on the rocks,35.5618,-121.1074,08/18/2015,40,131,09/01/2015,euthanasia,,,"euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
