Sites,Latitude,Longitude,Funder
Trinidad Pier,41.055,-124.147,CeNCOOS
Bodega Pier,38.31617,-123.0695,CeNCOOS
Santa Cruz Wharf ,36.961491,-122.021868,CeNCOOS
Monterey Wharf ,36.60513,-121.88935,CeNCOOS
Cal Poly Pier ,35.17,-120.741,SCCOOS
Stearns Wharf,34.4091639,-119.6848557,SCCOOS
Santa Monica Pier,34.0086,-118.4986,SCCOOS
Newport Pier,33.6066882,-117.9303358,SCCOOS
Scripps Pier ,32.8667137,-117.25587,SCCOOS
